Business Word,Explanation
Customer Verbatim,Exact words or statements expressed by a customer about their experience or issue
Repair Order,Document or record detailing the service or repair performed on a vehicle
Dealer Zone,Specific geographic area managed or serviced by a group of vehicle dealerships
Vehicle Identification,Process or system used to uniquely identify a vehicle using a standardized code
Feedback Category,Classification that groups customer comments or issues into specific types for analysis
Customer Feedback,Input or complaints provided by customers about their service experience
Service Observation,Notes or remarks made by staff based on review of customer feedback or interactions
Issue Description,Summary or detailed account of a problem reported by a customer
Service Data,Information collected about vehicle repairs customer interactions and dealership performance
Complaint Tracking,System or method used to monitor and manage customer complaints from submission to resolution
